retransmission_sequences,timestamp
24631,1680744305.3464751
24653,1680744305.346516
24853,1680744305.353297
25032,1680744305.366136
25312,1680744305.376218
25370,1680744305.376244
25768,1680744305.389746
25841,1680744305.38977
26025,1680744305.3940952
26075,1680744305.39835
26176,1680744305.402666
26302,1680744305.407125
26365,1680744305.407149
26707,1680744305.4219148
26779,1680744305.4219398
26786,1680744305.421976
26823,1680744305.422034
26849,1680744305.4220622
26876,1680744305.422673
26897,1680744305.4232519
26905,1680744305.4238
26962,1680744305.425347
26981,1680744305.4264011
27143,1680744305.434268
27145,1680744305.434293
27157,1680744305.4343302
27531,1680744305.450356
27638,1680744305.450387
27675,1680744305.450437
27686,1680744305.450482
27735,1680744305.4536011
27876,1680744305.4597151
27968,1680744305.459747
27985,1680744305.459795
28001,1680744305.460905
28144,1680744305.469172
28410,1680744305.482056
28429,1680744305.482103
28441,1680744305.482155
28617,1680744305.482201
28624,1680744305.482275
28627,1680744305.482317
28692,1680744305.486892
28694,1680744305.486936
28728,1680744305.486987
28900,1680744305.4949849
28993,1680744305.4992871
29021,1680744305.49934
29047,1680744305.499507
29088,1680744305.4996202
29105,1680744305.4996889
29236,1680744305.5061498
29316,1680744305.510444
29319,1680744305.510476
29392,1680744305.510528
29548,1680744305.518207
29622,1680744305.518244
29696,1680744305.520413
29730,1680744305.522481
29989,1680744305.537466
30128,1680744305.53749
30168,1680744305.5375412
30401,1680744305.543812
30533,1680744305.547997
30914,1680744305.561312
30932,1680744305.565583
30954,1680744305.5656068
31104,1680744305.569958
31163,1680744305.5699909
31265,1680744305.576355
31364,1680744305.576389
31476,1680744305.583264
31490,1680744305.583296
31521,1680744305.583364
31526,1680744305.583436
31552,1680744305.5834932
31650,1680744305.587786
31789,1680744305.5939012
31825,1680744305.593942
31840,1680744305.5939908
31869,1680744305.594044
31938,1680744305.5978072
32058,1680744305.60018
32068,1680744305.6024058
32115,1680744305.6024399
32273,1680744305.6098409
32335,1680744305.609865
32494,1680744305.616713
32751,1680744305.6292648
32895,1680744305.6293042
32902,1680744305.629345
32914,1680744305.629389
32955,1680744305.630552
33081,1680744305.6380842
33143,1680744305.638119
33859,1680744305.670506
33897,1680744305.670531
33965,1680744305.67058
34069,1680744305.670609
34120,1680744305.670645
34205,1680744305.67371
34257,1680744305.6758468
34291,1680744305.675884
34444,1680744305.68379
34676,1680744305.6961138
34750,1680744305.696148
34788,1680744305.6962051
34864,1680744305.6962829
34982,1680744305.701327
35110,1680744305.707656
35530,1680744305.721079
35651,1680744305.7291431
35704,1680744305.729177
