Sequence_number,timestamp
14884,1680744298.255222
14886,1680744298.255233
15018,1680744298.262385
15038,1680744298.262423
15112,1680744298.262541
15300,1680744298.2700438
15393,1680744298.27427
15569,1680744298.2787561
15917,1680744298.2880378
15971,1680744298.288127
16110,1680744298.296302
16304,1680744298.30493
16318,1680744298.304959
16345,1680744298.3050072
16512,1680744298.305253
16529,1680744298.313323
16542,1680744298.313351
16547,1680744298.313366
16606,1680744298.316333
16838,1680744298.320813
16936,1680744298.3250408
16943,1680744298.3250592
16975,1680744298.325114
17031,1680744298.3301382
17106,1680744298.332288
17114,1680744298.332308
17360,1680744298.3378172
17379,1680744298.341871
17403,1680744298.3419142
17840,1680744298.353129
17849,1680744298.353152
17868,1680744298.353187
17917,1680744298.3532648
17948,1680744298.3613088
18245,1680744298.369343
18365,1680744298.369526
18376,1680744298.36955
18454,1680744298.377714
18464,1680744298.377739
18519,1680744298.3798962
18603,1680744298.3820539
18624,1680744298.384037
18678,1680744298.3841228
18691,1680744298.386139
19081,1680744298.394592
19108,1680744298.39464
19169,1680744298.394735
19295,1680744298.405202
19604,1680744298.413771
19623,1680744298.4138088
19676,1680744298.413895
19716,1680744298.413961
19762,1680744298.4140348
19816,1680744298.4228532
19885,1680744298.425035
20065,1680744298.4292438
20194,1680744298.433415
20222,1680744298.433465
20231,1680744298.433485
20284,1680744298.438765
20335,1680744298.440871
20484,1680744298.445167
20546,1680744298.4452639
20595,1680744298.44941
20877,1680744298.4578931
21029,1680744298.458122
21047,1680744298.458156
21126,1680744298.4661639
21144,1680744298.466201
21396,1680744298.4759622
21411,1680744298.4759932
21504,1680744298.476136
21515,1680744298.4761589
21564,1680744298.476238
21670,1680744298.4854138
21873,1680744298.4896169
22068,1680744298.497827
22073,1680744298.4978418
22351,1680744298.507007
22445,1680744298.5114381
22454,1680744298.51146
22545,1680744298.5116
22600,1680744298.51702
22726,1680744298.521253
22796,1680744298.5213609
22804,1680744298.5213802
22832,1680744298.521429
22864,1680744298.5259662
22920,1680744298.527128
22952,1680744298.528199
23032,1680744298.530286
23059,1680744298.532368
23315,1680744298.540647
23404,1680744298.5407848
23532,1680744298.540976
23620,1680744298.549752
23622,1680744298.5497642
23708,1680744298.553482
23715,1680744298.5535
23723,1680744298.5535202
23763,1680744298.5560808
23917,1680744298.56026
23923,1680744298.560277
23995,1680744298.560389
24049,1680744298.565665
24060,1680744298.565697
24186,1680744298.569175
24230,1680744298.571289
24315,1680744298.57345
24330,1680744298.575457
24342,1680744298.5754821
24640,1680744298.585942
24711,1680744298.586057
24720,1680744298.586078
24797,1680744298.586199
24930,1680744298.595252
24958,1680744298.597305
24960,1680744298.597316
24978,1680744298.5973492
25013,1680744298.597408
25134,1680744298.6017668
25171,1680744298.603776
25214,1680744298.605835
25522,1680744298.61447
25615,1680744298.6146119
25630,1680744298.614642
25662,1680744298.614697
25717,1680744298.622881
26080,1680744298.6313841
26265,1680744298.639622
26306,1680744298.639691
26764,1680744298.652687
26884,1680744298.660769
26925,1680744298.6608372
26981,1680744298.660927
27075,1680744298.66107
27180,1680744298.670547
27351,1680744298.67474
27395,1680744298.674814
27488,1680744298.681248
27502,1680744298.681277
27530,1680744298.681324
27545,1680744298.681355
27598,1680744298.68144
27609,1680744298.6855092
27615,1680744298.685845
27998,1680744298.694217
28013,1680744298.694247
28017,1680744298.69426
28022,1680744298.6942751
28082,1680744298.694369
28210,1680744298.704651
28371,1680744298.708996
28528,1680744298.713614
28611,1680744298.7182431
28725,1680744298.7224278
28867,1680744298.72654
28914,1680744298.726617
28948,1680744298.7308218
29085,1680744298.735338
29169,1680744298.735471
29251,1680744298.739651
29342,1680744298.7437692
29403,1680744298.743864
29449,1680744298.743938
29577,1680744298.751724
29596,1680744298.751762
29673,1680744298.7518861
29685,1680744298.756062
29811,1680744298.760171
29842,1680744298.760225
29945,1680744298.7643762
30153,1680744298.76898
30161,1680744298.769001
30340,1680744298.7752042
30346,1680744298.775221
30365,1680744298.775258
30429,1680744298.780543
30683,1680744298.78913
30701,1680744298.789165
30730,1680744298.789213
30773,1680744298.7892952
30894,1680744298.789518
31060,1680744298.8012002
31095,1680744298.801259
31112,1680744298.8012931
31257,1680744298.8066509
31327,1680744298.810752
31372,1680744298.810828
31395,1680744298.81087
31441,1680744298.810946
31753,1680744298.824162
31785,1680744298.8242218
31934,1680744298.8244429
31963,1680744298.833057
32041,1680744298.835683
32106,1680744298.837932
32165,1680744298.8400068
32206,1680744298.84202
32437,1680744298.846228
32462,1680744298.850782
32487,1680744298.850832
32490,1680744298.850846
32579,1680744298.85102
32653,1680744298.856575
32717,1680744298.858711
32934,1680744298.862914
32964,1680744298.866977
32969,1680744298.8669922
33094,1680744298.871179
